#OTU ID	HKBea1Nov	HKBea2Nov	HKBea3Nov	HKSW1Nov	HKSW2Nov	HKSW3Nov	HKSta1Nov	HKSta2Nov	HKSta3Nov
id368	4.782608696	0.217391304	0.652173913	0.27173913	0	1.032608696	0.434782609	0.97826087	1.413043478
id369	0.054347826	0	0.054347826	0	0	0	0	0	0
id37	0	21	0	0	0	271	3	30	17
id370	13.75	0.489130434	7.663043478	11.57608696	0	7.989130435	4.673913044	8.152173912	117.173913
id371	2.608695652	0	0.108695652	0.380434783	0	0.706521739	0	0.108695652	0.054347826
id372	0	0.108695652	0.108695652	0	0	0	0.27173913	0.706521739	0.163043478
id373	0	0	0.054347826	0.054347826	0	0.543478261	0.380434783	0.380434783	0.326086957
id374	1.684782609	0.27173913	1.684782609	1.739130435	0	2.065217391	61.25	5.489130435	0.597826087
id375	0.869565217	0.597826087	0.543478261	0.380434782	0	1.956521739	0.706521739	3.478260869	3.423913043
id376	3.695652174	5.217391304	1.630434782	2.608695652	0	2.010869565	0.27173913	4.02173913	2.010869565
id377	0	1.52173913	1.630434783	0.489130435	0	0	0	0	0
id378	167.1739131	293.0978261	153.9130435	79.13043478	0	63.85869564	76.30434782	39.13043478	111.0326087
id379	0.4	1.2	1.2	2.4	0	5.6	4.8	20	0.4
id38	4206	314	6228	9612	21832	29139	3431	9777	10543
id380	0	0	0	0	0	0	0	3.6	1.2
id381	1.2	8.4	12	12.8	0	14.8	12	14.8	2
id382	1.6	0.4	1.2	0	0	1.2	0	16.8	0.8
id383	0	0	0	0	0	0	0	4.4	0
id384	17.6	0.8	6	29.6	0	14	6.8	10.8	24.4
id385	2.8	16	11.2	42.4	0	102.8	468	32.4	1.6
id386	0	0	0	0	0	0	0	0	0
id387	0	0.4	0	0	0	0	0	0	0
id388	0	2.8	0	0.4	0	0.4	0	0	0
id389	12.8	11.6	6.4	99.2	0	42.4	12.8	0.8	0.4
id39	0	0	0	0	0	0	0	0	0
id390	0	1.2	0.4	1.6	0	0.8	0	0	0
id391	70	408.8	56.8	302.8	185.2	369.6	322.8	59.6	1.2
id392	30.8	226.4	47.6	213.6	390.8	223.6	94.4	68.4	13.2
id393	0	0	15.71428571	12.85714286	0	21.42857143	0	14.28571429	0
id394	518.5714286	25.71428571	567.1428571	441.4285715	0	408.5714286	104.2857143	174.2857143	132.8571429
id395	271.4285715	381.4285714	658.5714286	685.7142857	58.57142857	1121.428571	1751.428571	522.8571428	2032.857143
id396	1.428571429	0	25.71428571	8.571428571	0	1.428571429	0	0	1.428571429
